cc,bits,roots,pairs,min_gap_log2,p10_gap_log2,median_gap_log2,p90_gap_log2,max_gap_log2,expected_gap_log2,min_deficit,min_gap_hex,min_gap_grid
13,75,284,283,58,61,64,67,69,66.9,8.9,0x4764a3f8244bdc2,7889242056987.05
13,76,1080,1079,56,61,64,66,67,65.9,9.9,0x16bfa4c415987c0,2513817248602.95
13,77,71,70,60,62,64,71,73,70.9,10.9,0x16687d2d3e506df8,39619141201933.05
13,83,1,0,,,,,,,,,
13,84,8,7,78,78,79,81,81,81.0,3.0,0x4ec39e75cad39458ece8,9126564078362066808
13,85,25,24,67,74,78,79,82,80.4,13.4,0xe10ce1c30e9005de8,6366466774092408
13,86,109,108,63,69,77,79,81,79.2,16.2,0xfa761fa869b57b2c,442832716597284
13,87,273,272,58,67,71,79,81,78.9,20.9,0x63151d517dabc98,10949032358152
13,88,791,790,61,66,69,79,81,78.4,17.4,0x29b09c0321290c30,73710526038800
13,89,739,738,65,73,77,79,81,79.5,14.5,0x24e92effa14bcc712,1044174694794406
13,90,1435,1434,56,68,77,79,81,79.5,23.5,0x1fb6bf3be8a9a1a,3504514975102
13,91,608,607,69,77,80,81,83,81.8,12.8,0x36a4b66eb1f8e6c8f0,24732989217493840
13,92,10,9,84,84,87,88,88,88.7,4.7,0x1be7d778d7a332488f59dc,827771771432255286964
13,93,9,8,86,86,88,90,90,89.8,3.8,0x4dc15ff09a227cca01a988,2306477110033490989144
13,94,3,2,90,90,90,90,90,92.4,2.4,0x436a02afd1a14d8a340bb56,31995544232192198528850
13,95,1,0,,,,,,,,,
13,97,1,0,,,,,,,,,
14,62,1,0,,,,,,,,,
14,63,1,0,,,,,,,,,
14,64,3,2,57,57,62,62,62,62.4,5.4,0x333138523c20d5a,5656961562446.95
14,65,1,0,,,,,,,,,
14,66,4,3,61,61,62,63,63,64.0,3.0,0x31538517158e2660,87212142439402.11
14,67,7,6,60,60,62,64,64,64.2,4.2,0x19d06b85b66980e0,45641145089908.10
14,68,10,9,59,59,62,65,65,64.7,5.7,0x9ce87d9b6f710be,17339015107129.05
14,69,16,15,60,61,62,65,65,65.0,5.0,0x16ef2075fe383462,40549019247126
14,70,31,30,60,61,63,65,65,65.0,5.0,0x19310811a4619260,44540326258676.10
14,71,35,34,60,60,64,66,66,65.9,5.9,0x1119f6545aa56ab6,30236457249932.95
14,72,44,43,58,62,64,66,67,66.5,8.5,0x4154d2044e101ea,7219387845725.05
14,73,94,93,57,61,64,66,68,66.4,9.4,0x36f9660ca89322c,6074882762548.95
14,74,105,104,60,62,65,67,68,67.3,7.3,0x116ae20869f41436,30795337306866
14,75,51,50,54,64,67,69,70,69.3,15.3,0x6bed79991f0164,745403730188
14,76,204,203,59,63,66,68,69,68.3,9.3,0x9002bafe958f7f0,15913786796112
14,77,14,13,62,66,67,73,74,73.2,11.2,0x5bfcc58946e5b3d2,162639920131840.94
14,83,1,0,,,,,,,,,
14,84,1,0,,,,,,,,,
14,85,2,1,81,81,81,81,81,84.0,3.0,0x2c4ed39d55ae4b5582c4a,82144804700138547854
14,86,26,25,68,70,79,81,82,81.3,13.3,0x17ddce988f15eb1eb8,10802551676192360
14,87,46,45,67,71,80,81,83,81.5,14.5,0x9c4ed17e3cdc076da,4421806426977726
14,88,144,143,66,69,72,81,83,80.8,14.8,0x5c43c7b76b832cf20,2610085463094368
14,89,128,127,67,76,80,82,83,82.0,15.0,0xc3b78a3277008bc40,5536652762108608
14,90,254,253,66,70,80,82,83,82.0,16.0,0x6a84989e46c42bc2e,3013295044242202
14,91,98,97,72,80,83,84,85,84.4,12.4,0x12ca0b4b447a5cec754,136071728643713884
14,92,2,1,90,90,90,90,90,91.0,1.0,0x45baf08c7c1c49ea3608a04,33094807139560014159340
15,66,2,1,60,60,60,60,60,65.0,5.0,0x17b9d8efd443f08a,41949111965006
15,67,4,3,63,63,63,64,64,65.0,2.0,0x88aad408deac4114,241637018028700
15,68,2,1,64,64,64,64,64,67.0,3.0,0x184caa2b75723e2cc,687409724949976.12
15,69,6,5,62,62,65,66,66,66.4,4.4,0x56abe6164bfd964e,153241032798868.94
15,70,5,4,64,64,66,66,66,67.7,3.7,0x18fa2b0500855f776,706582574534268.12
15,71,11,10,64,64,66,67,67,67.5,3.5,0x13fe68ad3910fee34,565605800123149.00
15,72,9,8,65,65,67,68,68,68.8,3.8,0x32828e6e6e0d6aed2,1428881090933707.00
15,73,21,20,63,64,67,68,68,68.6,5.6,0xd5dbe18f25a6794e,378117005395817.06
15,74,17,16,63,66,68,70,70,69.9,6.9,0xe133166493d49626,398168040819010
15,75,12,11,66,67,69,71,71,71.4,5.4,0x67e61906f01b5aa04,2939202138884103.00
15,76,35,34,61,67,69,71,72,70.9,9.9,0x37ed8373b620770e,98884106847418
15,77,2,1,73,73,73,73,73,76.0,3.0,0x2f03b7789630d7b80a0,340479366655835360
15,85,1,0,,,,,,,,,
15,86,5,4,74,74,80,81,81,83.7,9.7,0x555484eabc73fe7abc8,617961377777075480
15,87,9,8,78,78,80,83,83,83.8,5.8,0x76d65fa7d0830db21744,13769935981288381356
15,88,20,19,72,73,82,84,84,83.7,11.7,0x1c2903fb5d2d619579c,203936426439735796
15,89,28,27,78,78,82,84,85,84.2,6.2,0x41ad75bfdc582d8aa51c,7610197346430449268
15,90,35,34,69,80,83,85,86,84.9,15.9,0x2aa630c74a6eef314e,19304098678137210
15,91,12,11,84,84,85,87,87,87.4,3.4,0x10f53b78b7aa844fe4d30c,503027602960278966468
15,92,2,1,89,89,89,89,89,91.0,2.0,0x30750f41d93f793e743c592,22998400261485472468006
16,70,1,0,,,,,,,,,
16,72,3,2,65,65,69,69,69,70.4,5.4,0x251efd043bf3aad4a,1050120347768735.00
16,73,6,5,65,65,66,71,71,70.4,5.4,0x2f847a26291b9061e,1344226100758361.00
16,74,4,3,67,67,69,70,70,72.0,5.0,0xd5c7149f4ee9aef7c,6047573539403897.00
16,75,4,3,71,71,71,73,73,73.0,2.0,0xaff72ab9e3e371dbc8,79646435160446232
16,76,3,2,71,71,74,74,74,74.4,3.4,0xf720e6d419f4e7ef46,111856621314392448.00
16,77,2,1,72,72,72,72,72,76.0,4.0,0x1038f66f44456e453d4,117483497241079004
16,86,1,0,,,,,,,,,
16,88,7,6,81,81,83,85,85,85.2,4.2,0x27853daae1bd51d00cc0a,73269106968334732238
16,89,3,2,84,84,86,86,86,87.4,3.4,0x1de5810ce40b7c74615b68,886827413869879908088
16,90,9,8,82,82,85,87,87,86.8,4.8,0x5117ea7c929d8573efad0,150343410827527936496
16,91,1,0,,,,,,,,,
17,88,1,0,,,,,,,,,
