cc,bits,count,imm_3,imm_3_pct,safe_3,safe_3_pct,imm_5,imm_5_pct,safe_5,safe_5_pct,imm_7,imm_7_pct,safe_7,safe_7_pct,imm_11,imm_11_pct,safe_11,safe_11_pct,imm_13,imm_13_pct,safe_13,safe_13_pct,imm_17,imm_17_pct,safe_17,safe_17_pct,imm_19,imm_19_pct,safe_19,safe_19_pct,imm_23,imm_23_pct,safe_23,safe_23_pct,imm_29,imm_29_pct,safe_29,safe_29_pct,imm_31,imm_31_pct,safe_31,safe_31_pct,safe_all,safe_all_pct
15,21,85,67,78.82,67,78.82,67,78.82,67,78.82,17,20.00,74,87.06,67,78.82,67,78.82,67,78.82,67,78.82,7,8.24,75,88.24,40,47.06,85,100.00,6,7.06,76,89.41,14,16.47,73,85.88,4,4.71,79,92.94,67,78.82
15,22,2,2,100.00,2,100.00,2,100.00,2,100.00,1,50.00,2,100.00,2,100.00,2,100.00,2,100.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,2,100.00
15,24,35,35,100.00,35,100.00,35,100.00,35,100.00,6,17.14,35,100.00,35,100.00,35,100.00,35,100.00,35,100.00,3,8.57,35,100.00,35,100.00,35,100.00,2,5.71,35,100.00,5,14.29,35,100.00,1,2.86,35,100.00,35,100.00
15,25,77,77,100.00,77,100.00,77,100.00,77,100.00,21,27.27,77,100.00,77,100.00,77,100.00,77,100.00,77,100.00,12,15.58,77,100.00,76,98.70,77,100.00,8,10.39,77,100.00,7,9.09,77,100.00,3,3.90,77,100.00,77,100.00
16,20,4,2,50.00,2,50.00,2,50.00,2,50.00,1,25.00,4,100.00,2,50.00,2,50.00,2,50.00,2,50.00,0,0.00,3,75.00,1,25.00,4,100.00,0,0.00,3,75.00,2,50.00,4,100.00,0,0.00,3,75.00,2,50.00
16,21,17,13,76.47,13,76.47,13,76.47,13,76.47,4,23.53,15,88.24,13,76.47,13,76.47,13,76.47,13,76.47,0,0.00,17,100.00,8,47.06,17,100.00,1,5.88,15,88.24,1,5.88,14,82.35,0,0.00,17,100.00,13,76.47
16,22,2,2,100.00,2,100.00,2,100.00,2,100.00,2,100.00,2,100.00,2,100.00,2,100.00,2,100.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,2,100.00
16,24,8,8,100.00,8,100.00,8,100.00,8,100.00,2,25.00,8,100.00,8,100.00,8,100.00,8,100.00,8,100.00,2,25.00,8,100.00,8,100.00,8,100.00,0,0.00,8,100.00,0,0.00,8,100.00,0,0.00,8,100.00,8,100.00
16,25,13,13,100.00,13,100.00,13,100.00,13,100.00,2,15.38,13,100.00,13,100.00,13,100.00,13,100.00,13,100.00,4,30.77,13,100.00,13,100.00,13,100.00,0,0.00,13,100.00,0,0.00,13,100.00,0,0.00,13,100.00,13,100.00
17,24,1,1,100.00,1,100.00,1,100.00,1,100.00,0,0.00,1,100.00,1,100.00,1,100.00,1,100.00,1,100.00,0,0.00,1,100.00,1,100.00,1,100.00,0,0.00,1,100.00,0,0.00,1,100.00,0,0.00,1,100.00,1,100.00
