cc,bits,count,pairs,min_gap_log2,median_gap_log2,mean_gap_log2,min_gap_hex,median_gap_hex,mean_gap_hex,max_gap_hex
11,100,10,9,92,95,95,0x1abfe91a38ae6a5d6ed86710,0xcc0f14672ae52dfb9e013ca2,0xd4c82ede5c3a53d54ddb6749,0x20a1115b9af68b8e080da6808
11,101,12,11,91,95,96,0x82d3960630f3112d43f59fe,0xe3432783c520d8b6a7412b4a,0x15c781edec8c1b266743b0250,0x3b1055c8d532c6586097b6d2c
11,102,6,5,93,97,98,0x2d2f9db7c810458dca4dbf34,0x27e3e94cbb0014209739a11c4,0x55193132fe2af79d1424b0ca4,0x134ece1a2677b8a07a8060f090
11,103,7,6,96,98,99,0x1d1bfa3747c019d9072af69f0,0x44d99e53a2e289f489faed8cb,0x9247745b7abb4437ccd872b18,0x1d8b94d754261136d8512b3d1e
11,104,5,4,98,100,100,0x5693ba07d818940e049f91b26,0x19aaef7aa12872b4a5c953fce4,0x1bfa0ce7d970bc8a45165e44d6,0x37291909a5f0837ee87cd7fe6c
11,105,4,3,97,101,101,0x2274e6944eba53702937b36ca,0x25d5e59d6db9dac0994b19ef1c,0x2f7cdf3ce9dfbdb448f4c633f6,0x667969b00af9b9253effbd75fc
11,106,6,5,98,102,102,0x6b7fd64d6c8aa96e8bff64646,0x65f56ecd9ecca39ff06f1719b0,0x63705abb56148491babdd5d862,0xb09f4491f84bc841e590746ce8
11,107,5,4,97,103,103,0x2fd35d5c12233abae1aae6e6a,0xa6f41cee3c817799406bfbcb08,0xf574bb554bf18d14b8119e62da,0x284ed7da2f5a11174b153d386ee
11,108,5,4,98,99,104,0x49ee17bd06a9741c7b7ad6d24,0xcd792663580d5f7edd2148ed2,0x147bfd79b83ca24e47b6c09bf92,0x500b15825d3bc50604a54507382
11,109,7,6,99,104,105,0xcc3b7a10b36bfb905c9e3bfb8,0x14cf72f16f127f5f7d16413d94b,0x2928bbb247a4501163a78175b86,0x76ef2de81f0b17d3e95c9ca370e
11,150,1,0,,,,,,
11,151,1,0,,,,,,
12,59,1,0,,,,,,
12,60,5,4,52,55,56,0x16d520ff34709a,0xc69876ea1459b5,0x16b970fe675b82b,0x40a5630c679bca8
12,61,6,5,55,56,57,0xd35dd5de8a8dd6,0x1e1568e65b51bf0,0x2e9e6a828a960f4,0x5b8e663c44480c8
12,62,16,15,52,56,57,0x1f39e3a98d1458,0x1dc134cf2211404,0x206ca3a8b1e68f4,0x6329d3fae9b4206
12,63,16,15,55,57,57,0xda1ab0f05474f8,0x257bcd1e9c442e8,0x369365e803a3324,0xd691c5abfde5d7e
12,64,34,33,54,57,57,0x542283c2e31022,0x278be6bc75eda96,0x3c86ed7ac252e98,0xe4709819035a6e0
12,65,41,40,50,57,58,0x683950a67ae86,0x347a4193542a516,0x59ef0e5af4a4028,0x18d6a8fcedf4512a
12,66,87,86,48,58,58,0x11a248488d394,0x429b6fece89e8fa,0x5b9eed7b645e0ca,0x1e1123ea5050a1da
12,67,133,132,52,58,58,0x1202f26ed21a18,0x5d3d49a0676392f,0x782033d9dbfb52a,0x1df66b40300f6f82
12,68,242,241,51,58,59,0xc8a77510458da,0x5f567918e3e78c4,0x8746e8ab29896c5,0x43bb6fdbc7bd5546
12,69,440,439,51,58,59,0x8278e175d474c,0x6e0dc3bf4a51d74,0x951927dc0ad358a,0x37b77822de9b5f9a
12,70,776,775,49,58,59,0x3e85fb0dcb3fc,0x74f6bee6c01f366,0xa8d65c32fb9a4f2,0x529ef669acd45ad4
12,71,764,763,53,60,60,0x217b29228ca0e8,0x102d685680c70eba,0x1575e8c408908e77,0xaf675d139078798c
12,72,1205,1204,48,60,60,0x10f74d3b24fd2,0x137dbeb8cefa8204,0x1b363669a6ddfb46,0x95bc6ee88471a164
12,73,2262,2261,44,60,60,0x178564ba3e40,0x141cc03948654042,0x1ceec6edb484e588,0xfa6f0529c750ebb0
12,74,2664,2663,46,60,61,0x7e713bf60164,0x1e4fd4c16524b3c0,0x310e09e49029d8f5,0x2a808c7effa705ef8
12,75,1371,1370,51,62,63,0xb5d5ce5f155c2,0x540fbb2b4126cf7e,0xbf3c7d67f1e48a9a,0x91d9d2bbe686bff42
12,76,5380,5379,50,62,62,0x4bab61333742a,0x4360697fbacbb5be,0x616eeba358feef74,0x459f7dc1eaa3a28c0
12,77,375,374,51,62,67,0x89662fbda3160,0x40d5d16774dde14f,0xa4558352d8f69ad0e,0x1ffa26445a0a4f124fc
12,83,12,11,74,77,78,0x51c83833e9dbb84baa6,0x275ef81669a83329aa52,0x4bb5bc51ae5ab546df84,0x15d377f0048062ffa24e4
12,84,43,42,60,76,77,0x199480fb9b62a370,0x1ea36523b7e63260474c,0x2acc8af18312404eb79e,0x11b2a31a8a8b7ee617514
12,85,163,162,60,74,76,0x1758cbec6b27a194,0x7dfd30322edaea9eb57,0x192ad9140b7126647f81,0x1dac438491f25e5c8b904
12,86,550,549,60,74,75,0x12ce3da6b305dffc,0x49ac04bcb043608d184,0xee08ae8910bbc1b8d3a,0xb8f5dda968d93c5f11da
12,87,1444,1443,58,69,75,0x66d5d4880e08a28,0x290df857c1db4cca2e,0xb5a1728619db9b7ec87,0x912a4456eeb0a37f788c
12,88,4552,4551,53,67,74,0x3020e525839a4a,0xa4b97dfc6c95cb932,0x73329c2df86edda2304,0xb355f09f8667debfa3ea
12,89,4401,4400,55,75,75,0xe774a528648a14,0x9b506b8baab76f988b9,0xee3c77b788e7cd30557,0xa3c4b37d2cfc518d4618
12,90,8393,8392,52,75,75,0x1d00aff0a2343e,0x91fdbccdad0974880e6,0xf9e5e6e2cdafba472df,0xd2a1832830e114bce1fc
12,91,3571,3570,66,77,78,0x4633e09eeecba8a6c,0x33703925a3d4d9974100,0x496cedaea724a2f64129,0x25951c0f922678d0e1cfc
12,92,94,93,77,83,84,0x3188a77dadb246b3d212,0xfce64af9990bfdae7c6b8,0x1598d2258d0e8e7f739c6d,0x5671652b43c36f01f2946c
12,93,34,33,81,86,86,0x3c7a480556f3a8e89d6b8,0x4987291d72c2de632a093e,0x75d136db4dd78cb979bba6,0x22130acefc365b1a97afcc8
12,94,18,17,85,88,88,0x296c5960dcf381bf431294,0x1124511819cd9e8e3407b16,0x1ae3409ec36d747721a1deb,0x73f1748949ffaea5f46d132
12,95,14,13,88,89,90,0x110d29dcffb785ac680a412,0x3b1f0eeee80be80a4cba34e,0x4da6f995612abe6af7c1c7a,0xce36649948b024d764f493c
12,96,4,3,90,91,91,0x78148b4775df6006eeb901e,0x831a8c6c23bd285f01b8506,0xe2c3ba16356a7acf958dbc0,0x1ad1c168f06a2e808d037e1c
12,97,5,4,92,92,92,0x10efd026fa026d1c34433f44,0x1f17e16200f40d27ee63cdd2,0x1e33d6b7473486cea2eb5851,0x29afc7f220e793ce7aa2865e
12,98,4,3,92,93,93,0x1f1ed0a018dd472dc64e8a92,0x32152339050fd8781c1a2406,0x36fca958a737768b15e261fe,0x53c20830d7b943fb5f3e7762
12,99,3,2,93,96,96,0x367ba22f71588fdecfb69726,0x153435dc3b5a03250b80cb0e9,0x153435dc3b5a03250b80cb0e9,0x2700b1957f9e7d4c2a062caac
12,100,2,1,97,97,97,0x2a3f58e684cbdedb1e7a89b88,0x2a3f58e684cbdedb1e7a89b88,0x2a3f58e684cbdedb1e7a89b88,0x2a3f58e684cbdedb1e7a89b88
12,101,1,0,,,,,,
12,102,5,4,96,97,98,0x1b04fe70227a6c8a1e47c60fc,0x249b69fe7288b2b5f06cbd257,0x445e1148143025e38c794f09d,0xad3c72b34934c59832c3fbcca
12,104,1,0,,,,,,
12,105,2,1,103,103,103,0x90d782df7b7ced41b9b3218842,0x90d782df7b7ced41b9b3218842,0x90d782df7b7ced41b9b3218842,0x90d782df7b7ced41b9b3218842
12,108,2,1,101,101,101,0x2d72a52f7c4f4bb9610249fb30,0x2d72a52f7c4f4bb9610249fb30,0x2d72a52f7c4f4bb9610249fb30,0x2d72a52f7c4f4bb9610249fb30
12,109,2,1,101,101,101,0x329a63ed13f70e0ca7ca4f164e,0x329a63ed13f70e0ca7ca4f164e,0x329a63ed13f70e0ca7ca4f164e,0x329a63ed13f70e0ca7ca4f164e
13,60,2,1,58,58,58,0x4a4837c46349088,0x4a4837c46349088,0x4a4837c46349088,0x4a4837c46349088
13,61,1,0,,,,,,
13,62,4,3,58,59,59,0x5e9e7721748a2b4,0xa65de961c2ba7fc,0x9f16b97ff100c2b,0xd847cbfc9bbd9d2
13,63,6,5,56,58,59,0x1e0c7c7b6d1e778,0x7f90131aebeaeee,0x8b7e0962091dd5a,0x1378947eefc96632
13,64,4,3,58,58,59,0x6313b1887af0982,0x636300b566e99de,0xafbd6a3bb0d75d2,0x148c18c7530abe18
