gap_log2,gap_hex,gap_decimal_approx,cc,bits,root1_hex,root2_hex
50,0x6b578b9122ac6,1888379965942470,10,90,0x280010e0351d8474c26909b,0x280010e03588dc00538bb61
50,0x6bf4a7a008b08,1899176455605000,10,90,0x2652317bfd78e7d62f918db,0x2652317bfde4dc7dcf9a3e3
50,0x6c11987f30a6c,1901165259459180,10,89,0x1362779478879e644efb3e1,0x1362779478f3affcce2be4d
50,0x6c64089daec38,1906830353296440,10,90,0x247887a76b939a182a37179,0x247887a76bfffe20c7e5db1
50,0x6c9043d7b2b48,1909869908798280,10,91,0x75e5c13dd9c6177fb01a1dd,0x75e5c13dda32a7c387ccd25
50,0x6cb1b10a0c074,1912166963789940,11,89,0x10ad1dd4c17d27d2dacc3c5,0x10ad1dd4c1e9d983e4d8439
50,0x6d3d3d46c6452,1921756615697490,10,91,0x574cb0d9e38aade09d5c061,0x574cb0d9e3f7eb1de4224b3
50,0x6d4b47d9341f0,1922721526268400,10,88,0xa9d9c064a2be4636f9a173,0xa9d9c064a992fab48ce363
50,0x6d6a40349262a,1924849778370090,10,90,0x2f8a777395ee2c7879a5c51,0x2f8a7773965b96b8ae3827b
50,0x6dc068d51e5ca,1930770559133130,10,90,0x32cef4ec9d04c4ed3cad49d,0x32cef4ec9d72855611cba67
50,0x6df8ebafbdfb8,1934653975683000,10,88,0xa0013ec4d0fa5b67cc563f,0xa0013ec4d7d9ea22c835f7
50,0x6e2232c022d02,1937490550336770,10,88,0x89e974f25a61b50fd0c05d,0x89e974f26143d83bd2ed5f
50,0x6f0d4f8b4784a,1953647356573770,10,90,0x2763509fb4fc37ea7d0c8d3,0x2763509fb56b453a085411d
50,0x6f1b1df72603a,1954596120584250,10,91,0x483ec71cc9c3919483eea55,0x483ec71cca32acb27b14a8f
50,0x6f2ea30269b0c,1955937504369420,10,69,0x1002393b2c3a27c68d,0x1002402e166a4e6199
50,0x6fd1a7b2fbe1e,1967140037967390,10,88,0xb1509fa73f25a2d094b449,0xb1509fa74622bd4bc47267
50,0x70495e8666118,1975366732636440,10,88,0xa765c63dd7b17e8f31f499,0xa765c63ddeb614779855b1
50,0x7071145b6dfc8,1978095602425800,10,69,0x101be1bafab8ad5d4b,0x101be8c20bfe643d13
50,0x70c2bc22a9620,1983706917672480,10,90,0x292372a089dec5b00377523,0x292372a08a4f886c2620b43
50,0x70eb44ef7ab44,1986492418730820,10,89,0x149d8cb07caf93ff0444f53,0x149d8cb07d207f43f3bfa97
50,0x7112cf4aa1750,1989209617995600,10,88,0x913df55d89aa2e8f8f95c5,0x913df55d90bb5b8439ad15
50,0x71cda70fb14cc,2002049360925900,10,91,0x51d30c4e693f9774cdce03d,0x51d30c4e69b1651bdd7f509
50,0x72ba25068b526,2018300970710310,10,90,0x370d4d30bce80e38a2172ef,0x370d4d30bd5ac85da8a2815
50,0x738377d6b4d80,2032135815515520,10,90,0x23f799cc356429da8d38fa1,0x23f799cc35d7ad5263edd21
50,0x7450c9bb64222,2046245291311650,10,90,0x209d94fb8b32e8e0ddbe07d,0x209d94fb8ba739aa992229f
50,0x74b5f77e482d8,2053198242415320,10,91,0x7584ca9602584383e92fb31,0x7584ca9602ccf97b6777e09
50,0x74e7050f3c3e6,2056569138430950,10,91,0x5a206ff9cde90e3600ec677,0x5a206ff9ce5df53b1028a5d
50,0x7501ed0ff3188,2058418122600840,10,89,0x1f1d765a2de7f3537ad3227,0x1f1d765a2e5cf5408ac63af
50,0x7530bfd881a18,2061635800275480,10,90,0x2b01a11580fa7168078012f,0x2b01a115816fa227e001b47
50,0x75f988ce22968,2075433640274280,10,90,0x21d8a1a53c18f8f0a892d19,0x21d8a1a53c8ef27976b5681
50,0x7680d1eca3be6,2084730397408230,10,91,0x68dbf53aba65213812c9035,0x68dbf53abadba209ff6cc1b
50,0x76f19bf1f2e18,2092481208331800,10,89,0x1c42f75d15cbf077e81083d,0x1c42f75d1642e213da03655
50,0x771e09530dfe2,2095534226595810,10,88,0xf29de72670202e8a757397,0xf29de72677920f1fa65379
50,0x7739834153b68,2097422383004520,10,88,0xa2782d4a0f36ae1083fdb9,0xa2782d4a16aa4644993921
50,0x77df4fec68cca,2108816036891850,10,90,0x2d63d0a6e886393c3f58c7d,0x2d63d0a6e8fe188c2bc1947
50,0x7867163cdf642,2118146400843330,10,90,0x2690e81ce98269a06fc16ef,0x2690e81ce9fad0b6aca0d31
50,0x79632e073d290,2135470095192720,10,90,0x21d8af78878a4ff3d893903,0x21d8af788803b321dfd0b93
50,0x7a2135caf078a,2148528880027530,10,89,0x1c523ee3c5f0dbeb33a77b3,0x1c523ee3c66afd20fe97f3d
50,0x7a562c1fbe7b4,2152168416864180,10,90,0x236dddd5ed94546dd922ed5,0x236dddd5ee0eaa99f8e1689
50,0x7ac7014a33a26,2159922219530790,10,91,0x5d0463c769d7177e18bf96f,0x5d0463c76a51de7f62f3395
50,0x7ac94013c113c,2160076512825660,10,88,0xa9d9c392010598eaab819b,0xa9d9c39208b22cebe792d7
50,0x7b32742a0e5be,2167306039911870,13,72,0x83e20e6fed56062713,0x83e216231498a70cd1
50,0x7b4cdcf711520,2169120878564640,10,90,0x2313bfdfbd78e7fb31e1dc1,0x2313bfdfbdf434d828f32e1
50,0x7b5abf3f20ede,2170074973736670,10,91,0x5dce7ee41523f9937667b1b,0x5dce7ee4159f5452b5889f9
50,0x7b740dced2a2a,2171814049294890,10,69,0x100a0305d6a0be12df,0x100a0abd177dab3d09
50,0x7c7ed0d7be1ba,2190145784373690,10,90,0x29d89dcef4becade77d73b3,0x29d89dcef53b49af4f9556d
50,0x7c8fac1755152,2191304150045010,10,89,0x1be436d1e7052b713d6437d,0x1be436d1e781bb1d54b94cf
50,0x7c9660517f070,2191764846276720,10,90,0x26c4f9bad2dc38709ca6393,0x26c4f9bad358ced0ee25403
50,0x7cd90e1d21e40,2196346984603200,10,90,0x23ad67662a4b015bb69852b,0x23ad67662ac7da69d3ba36b
50,0x7cf78b1c3f5ae,2198442122409390,10,89,0x1a7c48ab649a7343c42d405,0x1a7c48ab65176acee06c9b3
50,0x7d17d0a0f6f8a,2200659806875530,10,90,0x28481ca139969f7baf2a5f7,0x28481ca13a13b74c5021581
