# generated 2026-05-14 from ../data/cc10plus_roots_snapshot_2026-03-19.csv
# via scripts/build_known_fingerprints_exp.py (predicate: count exponent of q in (p+1) for q in [3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61])
# variant D: freq >= 10 (drops singleton/rare-pair tail)
# augmented with pinned sieve set {2, 3, 5} (--immune-prime 5)
# format: P1[^e]*P2[^e]*... (^e omitted when e=1)
# total scanned: 1551489 CC10-99 roots
# raw unique exponent shapes: 28514
# after freq >= 10 filter: 4248 pool entries
# coverage of CC10+ data: 1501565/1551489 = 96.78%
# D_V bit-range: min=12.07 max=36.84 span=24.77 bits
2*3*5*11*13*19*29^2  # freq=901 bits=26.03
2*3^2*5*7*11*13*19*47  # freq=894 bits=26.26
2*3^5*5*7*11*13*19  # freq=890 bits=25.46
2*3^2*5*11*13^2*17*19  # freq=885 bits=25.69
2*3*5*11^2*13*19*43  # freq=871 bits=25.20
2*3*5*11^2*13*19*47  # freq=869 bits=25.33
2*3*5*11*13*19*23*47  # freq=858 bits=26.39
2*3^2*5*7*11*13*19*43  # freq=855 bits=26.13
2*3^2*5*11*13*19*23*29  # freq=854 bits=27.28
2*3^4*5*11*13*19*23  # freq=851 bits=25.59
2*3^3*5*7*11*13*19*29  # freq=849 bits=27.15
2*3*5*7*11*13*17*19*29  # freq=846 bits=28.07
2*3*5*11*13*17*19*61  # freq=844 bits=26.33
2*3^2*5*11^2*13*19*29  # freq=844 bits=26.22
2*3^3*5*11*13*19*53  # freq=842 bits=25.21
2*3*5*11*13*19*29*53  # freq=834 bits=26.90
2*3*5^2*7*11*13*19*37  # freq=834 bits=26.65
2*3*5*7^2*11*13^2*19  # freq=821 bits=25.63
2*3*5*7*11^2*13*17*19  # freq=815 bits=26.67
2*3*5^3*11*13^2*19  # freq=815 bits=24.66
2*3*5*11*13*19*23*43  # freq=804 bits=26.26
2*3^3*5^2*11*13*17*19  # freq=804 bits=25.89
2*3*5*11*13^2*19*31  # freq=791 bits=24.97
2*3^2*5^2*11*13*19*41  # freq=775 bits=25.58
2*3*5^2*7*11*13*19^2  # freq=770 bits=25.69
2*3*5*11*13*19^3  # freq=768 bits=24.81
2*3^2*5*11^2*13*19*23  # freq=766 bits=25.88
2*3^3*5*7*11*13*19*23  # freq=761 bits=26.82
2*3*5*11*13*19^2*37  # freq=760 bits=25.77
2*3*5^2*11*13*17*19*29  # freq=760 bits=27.58
2*3*5*7*11*13*17*19*23  # freq=758 bits=27.73
2*3^4*5*11*13^2*19  # freq=757 bits=24.77
2*3^3*5*11*13*19*59  # freq=755 bits=25.37
2*3^2*5*11^3*13*19  # freq=749 bits=24.82
2*3^2*5^4*11*13*19  # freq=744 bits=24.87
2*3^3*5*7*11^2*13*19  # freq=744 bits=25.75
2*3*5*11^2*13*19*53  # freq=741 bits=25.50
