# generated 2026-05-14 from ../data/cc10plus_roots_snapshot_2026-03-19.csv
# via scripts/build_known_fingerprints_all.py (predicate: q in fp iff q|(p+1); palette [3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61])
# ALL unique immune fingerprints in CC10-99 band (1551489 roots scanned, 0 with empty raw fp)
# augmented with pinned sieve set {2, 3, 5} (--immune-prime 5) — v16 requires D_V superset of D_sieve
# format: P1*P2*...*Pk  # freq=NNN bits=BB.B  (one D_V per line)
# total unique D_V: 1372
# D_V bit-range: min=12.07 max=47.37 span=35.31 bits
2*3*5*7*11*13*19*47*61  # freq=190 bits=30.61
2*3*5*11*13*17*19*37*47  # freq=190 bits=31.17
2*3*5*7*11*13*19*31*61  # freq=185 bits=30.01
2*3*5*11*13*59  # freq=179 bits=17.95
2*3*5*7*11*13*19*31*59  # freq=177 bits=29.96
2*3*5*11*13*17*19*23*61  # freq=175 bits=30.86
2*3*5*7*11*13*19*43*61  # freq=173 bits=30.48
2*3*5*11*13*17*19*37*43  # freq=172 bits=31.04
2*3*5*11*13*19*29*37*41  # freq=171 bits=31.74
2*3*5*7*11*13*19*43*59  # freq=166 bits=30.43
2*3*5*7*11*13*17*19*29*37  # freq=164 bits=33.28
2*3*5*7*11*13*19*47*59  # freq=160 bits=30.56
2*3*5*11*13*17*19*37*53  # freq=159 bits=31.34
2*3*5*7*11*13*19*53*59  # freq=158 bits=30.73
2*3*5*11*13*61  # freq=158 bits=18.00
2*3*5*11*13*17*19*31*41  # freq=156 bits=30.71
2*3*5*11*13*17*19*41*47  # freq=153 bits=31.31
2*3*5*11*13*17*19*43*47  # freq=152 bits=31.38
2*3*5*7*11*13*37  # freq=143 bits=20.08
2*3*5*11*13*19*29*31*37  # freq=143 bits=31.34
2*3*5*11*13*19*29*37*47  # freq=143 bits=31.94
2*3*5*11*13*17*19*31*43  # freq=141 bits=30.78
2*3*5*7*11*13*19*53*61  # freq=139 bits=30.78
2*3*5*11*13*19*23*29*61  # freq=139 bits=31.63
2*3*5*11*13*19*23*37*41  # freq=139 bits=31.41
2*3*5*11*13*19*29*37*43  # freq=139 bits=31.81
2*3*5*11*13*19*23*31*37  # freq=138 bits=31.00
2*3*5*11*13*19*23*29*59  # freq=135 bits=31.58
2*3*5*11*13*17*19*31*47  # freq=133 bits=30.91
2*3*5*7*11*13*19*59*61  # freq=127 bits=30.94
2*3*5*11*13*19*29*31*41  # freq=127 bits=31.48
2*3*5*11*13*17*19*41*43  # freq=126 bits=31.19
2*3*5*7*11*13*17*19*23*37  # freq=124 bits=32.94
2*3*5*11*13*19*29*41*43  # freq=124 bits=31.96
2*3*5*11*13*19*29*41*47  # freq=122 bits=32.08
2*3*5*11*13*17*19*37*59  # freq=118 bits=31.49
2*3*5*11*13*19*29*31*43  # freq=116 bits=31.55
2*3*5*7*11*13*17*19*29*31  # freq=114 bits=33.02
2*3*5*7*11*13*17*19*29*41  # freq=114 bits=33.43
2*3*5*7*11*13*41  # freq=114 bits=20.23
2*3*5*11*13*17*19*37*61  # freq=112 bits=31.54
2*3*5*7*11*13*31  # freq=111 bits=19.83
2*3*5*11*13*19*23*37*43  # freq=110 bits=31.47
